source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,bp_rp,radial_velocity,l,b,non_single_star,has_epoch_rv,teff_gspphot,logg_gspphot,distance_gspphot,ebpminrp_gspphot,dist_5,dist_95,cluster_id
1328028425080975104,250.41005219713256,36.246847570379245,0.3723200918134096,0.07844782,4.746086,0.2701278536755845,0.077383585,-4.895349214928348,0.10946809,17.625778,817.7412872152888,7.335478,1208.027226315182,6.93528,1.0142994,,58.72587417712283,40.89860543583315,0,False,5041.668,4.7074,1703.6035,0.0052,2.128966679082315,4.556269947650196,1
1328028493800441600,250.43989316959272,36.25372954519333,0.4676048299785611,0.046464093,10.063789,-2.0517311226025585,0.043593895,-5.811357630171456,0.053729452,16.596222,2269.7582568997536,8.364645,2944.496127006765,7.9563646,0.87322426,,58.73851776395946,40.875472782995686,0,False,5475.651,4.432,2002.4902,0.0073,1.875698396961112,2.633335802372661,1
1328029284074449152,250.40075386324747,36.26348197930013,0.4389363496304547,0.08891745,4.936448,-3.2293117408405543,0.07803147,-1.6719611790623006,0.10433273,17.691284,759.6142535179962,11.029077,1178.7468173520626,8.109579,1.0677166,,58.74662308672658,40.907932202503,0,False,4932.8057,4.6782,1684.595,0.0052,1.8336880229243635,3.909366600410536,1
1328029554649365376,250.37604305680568,36.29856061690384,0.5298069301497359,0.106253184,4.9862685,-5.0433265349495215,0.10628382,3.728626707432485,0.12798293,18.090631,523.0912177003542,8.524806,789.9534750446741,7.26263,1.038208,,58.78979301826308,40.93166462290628,0,False,5011.826,4.7169,2102.244,0.0011,1.535714794565722,3.3468108158507293,1
1328031620537399680,250.2479059802773,36.30183684006765,0.3677238224261013,0.03477077,10.575659,-4.867798681366508,0.03723128,-1.4313551924707553,0.041294474,16.045979,3868.164063552816,13.01398,4761.735848460366,12.757261,0.81629753,,58.778879672863695,41.03465662170707,0,False,5637.248,4.0345,2692.6184,0.0025,2.3897814938924067,3.287539025398797,1
1328033063646346496,250.2762485311308,36.31042181919531,0.3817450349629517,0.036775276,10.38048,-4.234441100365758,0.03708571,-6.887570653250975,0.042774677,16.203417,3406.7082431050662,11.840053,4032.617717159024,12.700451,0.77377796,,58.79354251660764,41.01290788463443,0,False,5939.9688,4.4322,1828.4408,0.0325,2.298700377044708,3.1837965764590144,1
1328033682121734144,250.30716781474067,36.36610391449852,0.4097720956748688,0.020373503,20.112993,-6.518606702918734,0.02122937,-8.932455027754216,0.024569852,14.971814,9422.803046217776,14.043934,14139.527112343778,12.443247,1.0312843,,58.87052242050651,40.99430995638488,0,False,,,,,2.2671571606396137,2.673585342532139,1
1328034060080296576,250.30740524537816,36.40555786739905,0.396046874877368,0.07224952,5.481654,-14.693947276128506,0.07038316,-11.217975789913504,0.08995106,17.53879,841.1450116564979,6.025903,1352.8603206978246,5.999412,1.1066017,,58.92250729803371,40.9984591446343,0,False,4885.645,4.5041,2077.4868,0.0016,2.049845102633346,3.9563159846649607,1
1328040481046141312,250.5595421298676,36.28762520256532,0.680850560719358,0.15236253,4.468622,-4.564335061807545,0.14393272,-11.323376209905476,0.18241006,18.768156,226.8591948112195,7.4055185,524.7746774292431,8.580888,1.5011883,,58.79748455636828,40.78347487985808,0,False,4065.7385,4.9697,917.597,0.0014,1.1988171600347146,3.134137218068352,1
1328040584125370752,250.57391491186675,36.29584047594709,0.5731427868011161,0.15444304,3.7110302,-27.017525325647163,0.14699255,14.958408056088032,0.17513774,18.818947,236.3299025763727,9.229844,471.5239313387245,8.583572,1.3406086,,58.81000255444282,40.77289942397368,0,False,4422.6235,4.7555,1463.3334,0.0015,1.389984582395482,4.378217230107492,1
