source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,bp_rp,radial_velocity,l,b,non_single_star,has_epoch_rv,teff_gspphot,logg_gspphot,distance_gspphot,ebpminrp_gspphot,dist_5,dist_95,cluster_id
6797107735326095360,305.5569860653007,-30.661747767227748,0.7311034316745816,0.052341387,13.96798,11.89603734703801,0.052544355,-2.285903086132376,0.043828797,16.39571,2521.892639568742,14.070303,3832.2909244609546,10.546571,1.0449772,,12.064725840972288,-31.866477227933203,0,False,5098.0786,4.6614,1070.2465,0.0423,1.2402238800845156,1.5792041601988862,26
6797113640904070912,305.4416387360529,-30.67341741369887,2.423211103591264,0.6426377,3.7707267,-20.590999573784632,0.59083086,-4.284058649801769,0.4895075,20.133986,42.77751762205079,6.270656,214.55712434932107,10.052054,2.341465,,12.021565635783295,-31.773553402593144,0,False,,,,,0.3710721686894644,3.9604610977001697,26
6797113679560841344,305.4613186668356,-30.67279816455969,0.6910825055193819,0.10813987,6.3906355,11.750987338629436,0.102028646,-4.856750386809937,0.082483545,17.678743,541.9664159669492,9.921022,1481.9962082152351,8.009145,1.6828327,,12.027370913497164,-31.78975645167035,0,False,4303.211,4.6789,980.9843,0.1722,1.2181584735892077,2.1890465823333782,26
6797113709623556608,305.46881562205755,-30.670075831404382,0.8213445820178281,0.23375002,3.5137734,-4.456579720705281,0.22585249,-3.836014269302707,0.18879105,18.961573,135.04523455910294,6.9043465,500.7678836129752,5.4161158,2.0135403,,12.03240995731467,-31.795292344635826,0,False,3593.9146,4.6286,857.5472,0.0235,1.0034684796707272,4.202588218838499,26
6797114259379371392,305.3951050036325,-30.66930982402916,1.086819510162652,0.32329124,3.361735,-0.2329309421264203,0.3191373,-4.71750705324644,0.26391736,19.457031,74.85761183112443,6.3581514,369.6337398271737,11.753021,2.3244858,,12.014165849747917,-31.7338142310874,0,False,,,,,0.7857313647945748,4.435241826658817,26
6797114263676404352,305.38274426832044,-30.672570562607863,0.7929173874905944,0.066514805,11.920916,3.549942061186492,0.060839936,-8.254567652653728,0.04668293,16.630709,1912.0579346516856,9.445276,3213.32399086756,9.738434,1.1542816,,12.007253095312196,-31.724375283870305,0,False,4789.516,4.5107,1257.7231,0.0024,1.1290111217462226,1.5032780552065084,26
6797114298036144896,305.36332883229727,-30.675979862781947,0.8162859767896832,0.06835918,11.941132,-3.05383296352027,0.062440068,-5.735976822627441,0.050755396,16.696468,1810.850993371998,11.230873,3012.665034658816,10.612692,1.1433182,,11.998341071593956,-31.709110869972463,0,False,4920.5347,4.6591,1054.4518,0.0709,1.0970237630422148,1.460105211654316,26
6797114401115352064,305.4277658314475,-30.67517015992776,0.6665485478065191,0.13406767,4.971732,4.053072869105432,0.12356035,0.2185319871307791,0.10028163,18.108568,381.2516923230114,9.112445,958.5059268974225,10.406283,1.5916042,,12.0159762331025,-31.762469237284822,0,False,4066.5957,4.7233,1052.7026,0.0036,1.2328705509938576,2.7997960431303746,26
6797114641633526016,305.4018918173318,-30.65527985807085,0.7668162107182516,0.051392347,14.920825,-10.530621581307418,0.04919105,3.982415561012831,0.040614188,16.4216,2405.025149421264,11.141682,3798.7553895621504,20.821417,1.0869522,,12.03187123035037,-31.735856237817817,0,False,5017.905,4.6234,1069.6661,0.0284,1.1888137665303482,1.4896324244765782,26
6797114744712742144,305.405238029519,-30.64093289535172,0.7539034712749398,0.03974406,18.96896,1.515094539028952,0.03493415,-6.614295095249826,0.026726855,15.450748,6321.435181480868,12.721488,8644.781153190472,14.548763,0.9304924,,12.04904395518936,-31.73495517172151,0,False,5484.08,4.4505,1109.7042,0.0503,1.2298671891809196,1.4663293268043738,26
6797115702488375936,305.3086531373275,-30.67265413377908,0.763017705529672,0.19936998,3.8271444,-0.6779582560745089,0.18970971,0.1963830315841624,0.15253665,18.642162,213.84497333736343,8.189601,599.7350738749308,14.249772,1.7102966,,11.987921309363651,-31.66280920336418,0,False,3966.1848,4.7993,1115.5142,0.0093,1.0715467490932848,3.724445214162978,26
6797115874287059840,305.2832783546584,-30.676763408963104,1.3825064284526565,0.2903222,4.7619724,-4.7753382030308105,0.271084,-4.035221185779326,0.21463236,19.150778,124.16373397294564,7.9147143,413.329181751941,7.319693,1.8964005,,11.976663547236292,-31.64277549240169,0,False,,,,,0.6086311634439155,1.714244709758764,26
6797116462699579008,305.2064669215185,-30.673670337623,0.7947877259119107,0.09857542,8.062737,10.300660589534797,0.08704897,-7.0480638731504905,0.06681461,17.189766,1003.9824130172065,8.331707,2106.0527737513585,9.594145,1.3950043,,11.960200976652075,-31.578142808959733,0,False,4334.4194,4.5352,1155.8354,0.0043,1.086215358887999,1.693254704904778,26
6797117660993540736,305.37235614262374,-30.634741279621604,0.6773237629931411,0.118154556,5.7325234,-10.05636674057825,0.10679294,-6.537579872984323,0.089565635,17.655535,677.8625624912012,12.021002,1359.6711197187035,12.59513,1.3463783,,12.04753296424286,-31.70602235383968,0,False,4382.291,4.7101,1097.1693,0.0047,1.2293028272974953,2.413913423844966,26
6797117665290508032,305.3704077349031,-30.636842395627628,0.8274413303267998,0.035532515,23.286879,16.774686589689725,0.03314212,1.068452059525608,0.02702202,15.421459,6608.797908760209,16.372478,8791.313420238124,11.487975,0.90047455,,12.044639717837308,-31.704942351010143,0,False,5632.719,4.5868,942.218,0.0831,1.1347585814333532,1.308707994616118,26
6797117798432522496,305.3938795223426,-30.62036170992912,1.2873162500947428,0.29742053,4.3282695,-0.6516538120078654,0.24300769,-9.011928528830785,0.20111579,18.969715,123.664316252694,6.078345,496.55270957294624,7.755268,2.099949,,12.069465104833746,-31.720224155580592,0,False,3551.9768,4.9981,521.4769,0.0098,0.6536739938418025,2.285776705405918,26
6797118215046332416,305.29266665695263,-30.639988735615564,0.7551398555080664,0.08157633,9.256849,-4.333126913352404,0.07557463,-6.11342033344941,0.06108513,17.185013,979.737799571052,6.851641,2175.1725099179,14.6139765,1.4566059,,12.02084595610678,-31.641115174574804,0,False,4506.1606,4.5367,1323.4497,0.0795,1.157987986456248,1.6896371138282953,26
6797118283765813120,305.2781610078463,-30.61959786508225,1.2720001107759278,0.25893185,4.9124904,-2.493175433661452,0.23346998,-7.333400551489493,0.20427302,18.974867,127.34853727832456,5.417914,516.8605879574002,7.124452,2.1115952,,12.040209008545473,-31.62380087638219,0,False,3441.9434,4.6272,517.1217,0.0123,0.6600350621063468,1.7110511927194014,26
6797118593001789568,305.2671771052556,-30.58686290625339,1.2590803860850257,0.30086324,4.1848927,-4.099719193159282,0.26197043,6.093360709965468,0.21766046,18.888304,166.5002180488107,15.487293,615.7916967068965,14.595978,2.0106945,,12.074483048142335,-31.606221052342843,0,False,,,,,0.6689284826072037,2.5372596588623675,26
6797118799160184192,305.3439763805572,-30.584032352359085,1.646543986095219,0.44495067,3.700509,-1.5248674169953356,0.40643263,-17.509950558844324,0.34626585,19.753988,63.46308903103742,6.2933383,250.58801023669304,7.1636453,2.0817451,,12.097728783952372,-31.66936714119018,0,False,,,,,0.5306761443850431,3.685662673541644,26
6797118829224741120,305.3280168542754,-30.58219435111104,1.062694584222906,0.3157659,3.3654509,5.717682950152355,0.28607953,-17.932956873586527,0.23715015,19.175682,100.69891590663548,7.3677797,419.6180041641418,9.679756,2.1402206,,12.095653548027014,-31.655618316909,0,False,,,,,0.8012431554706355,4.424412308907996,26
6797119074038117120,305.3122727718792,-30.56246119174704,1.856454003399,0.4454516,4.1675773,8.071420005101665,0.4123242,-3.5665853213570458,0.3769914,19.788507,65.00054630154686,8.068708,259.1774356616923,7.8905644,2.0923462,,12.113940117079537,-31.63743027428649,0,False,,,,,0.4626123040046068,2.368892192493073,26
6797119383277407744,305.4897444934194,-30.67203444200446,0.8263796908555023,0.022225454,37.18168,0.2740515503177665,0.020835025,-6.330677693004701,0.015906844,14.305021,17360.768568531556,25.513182,26174.46598783717,16.434774,1.0364189,-30.224644,12.035605138213375,-31.813194952206985,0,False,5242.84,4.1358,1008.3135,0.084,1.1612951256572146,1.2691423217966238,26
6797120104830136704,305.56960725258585,-30.592304132652067,2.302756194762378,0.49456182,4.6561546,6.762501018052873,0.5137258,-10.34103659479228,0.43155378,19.56258,76.99665464323351,9.391335,324.3744000985228,11.516605,2.1520824,,12.147039636409378,-31.85920239275929,0,False,,,,,0.3707145069301725,1.3290976225380973,26
