source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,bp_rp,radial_velocity,l,b,non_single_star,has_epoch_rv,teff_gspphot,logg_gspphot,distance_gspphot,ebpminrp_gspphot,dist_5,dist_95,cluster_id
6641642219996295936,298.2096384292238,-53.39939795007279,1.162364448144512,0.14694023,7.9104576,8.002746805433963,0.13793899,-9.486139800708258,0.11565971,18.137182,306.1992955372499,9.938797,1069.053114819591,10.015845,1.9481335,,344.75577048959065,-30.43354449747164,0,False,3701.3352,4.3572,1153.5927,0.084,0.744314616434229,1.1794344768957676,16
6641643280852753536,298.16125363756504,-53.36963194737693,0.8410964898163705,0.23051257,3.6488094,-1.5081253832104728,0.2075435,0.4356674531325644,0.1789534,18.733768,172.52285810146356,9.066353,654.3814570105848,12.168168,2.038107,,344.78689966369336,-30.40194995288932,0,False,3645.2058,4.8504,656.9344,0.06,0.980798246543302,3.918044530752417,16
6641643452651456640,298.22381807257835,-53.35728955067613,2.110027226319532,0.53866065,3.9171734,-3.867503174905431,0.52763104,-3.935083771516497,0.40523607,19.919168,50.43665508729489,6.804295,246.499488960678,9.414808,2.3133202,,344.8053255419275,-30.43791839158632,0,False,,,,,0.4156883182228411,3.210739975383538,16
6641644590818268544,298.0121533681418,-53.40034008496685,0.9548632072504828,0.05544555,17.22164,-4.42384053162376,0.05211908,0.9712267350725832,0.04167772,16.290382,2575.806187551061,11.90338,4525.079396534924,12.841496,1.2024279,,344.7414083633012,-30.3164486439294,0,False,4710.2554,4.4955,1050.7379,0.0038,0.9652958347961944,1.1726348787581478,16
6641644792681212672,298.00003165081006,-53.39984764932494,0.955565326631415,0.14088601,6.782542,16.38717179065028,0.13198699,-20.79235412838991,0.10120583,17.971825,415.8197293966492,12.609875,1165.423413196829,11.6884365,1.7095928,,344.74114998442184,-30.3092080685246,0,False,3871.8755,4.7858,776.9499,0.0033,0.8911318431788119,1.5524868252333732,16
6641645411156518144,297.8760797101783,-53.386864595044464,0.9287216111174807,0.080798335,11.494316,-6.685971586295076,0.07844466,5.236027154956618,0.0694878,16.968462,1235.337620352155,12.842932,2571.693839761442,15.088543,1.3867302,,344.7475802114962,-30.234367500028625,0,False,4535.1875,4.6652,1018.5504,0.0323,0.9617044109114958,1.2962378500723477,16
6641645759050469760,298.0202638579249,-53.3454754792317,1.0220199191436978,0.07175423,14.2433405,11.422932573779928,0.06557018,-5.463759759230522,0.052847233,16.80272,1368.8044334626434,9.357772,3116.610645837284,12.044109,1.4839993,,344.80520682587115,-30.315842761830872,0,False,4419.429,4.564,957.8958,0.101,0.8896566170930391,1.1281138816352745,16
6641646721120626432,298.1823475841934,-53.313797736532,1.9909797150965567,0.52367646,3.801927,0.1893620864581451,0.5351589,-5.5733355590004106,0.4330442,19.930965,44.304622148666766,5.3495765,247.42714075941524,6.784813,2.4581432,,344.85274913012927,-30.4090659737556,0,False,,,,,0.4425839920063923,3.54327846679591,16
6641646996000027520,298.15246796060035,-53.297319894679255,1.023713430174518,0.0177793,57.57895,4.829715758250201,0.019149086,-3.433579621185554,0.014180514,13.596554,35037.67307369691,23.258474,48016.67702376967,27.471058,0.93278885,-80.35444,344.8697447848426,-30.389690383163483,0,False,5658.692,3.9864,813.3949,0.131,0.9506098147164668,1.006598197392383,16
6641647472740906368,298.08789140280714,-53.28666954429023,2.03657092859886,0.4920955,4.1385684,3.2214350609332003,0.53140765,-6.868938776119383,0.36871424,19.834967,44.57192692140358,4.647609,219.3122032853697,11.228504,2.32065,,344.8776342335442,-30.3502310134842,0,False,,,,,0.4241295396134152,2.4605651640134645,16
6641647472740906880,298.09057500020856,-53.286026188363714,1.5253195306642464,0.33502156,4.5529,4.942077700710833,0.34556407,3.3186779309882164,0.2831478,19.182873,108.10783785165816,7.470312,444.145738282639,10.186959,2.124817,,344.8785596343764,-30.351763972362743,0,False,,,,,0.5539449328074804,1.8068478520126137,16
6641647713259531392,298.1166762836972,-53.255874320619846,2.72450705745023,0.66946733,4.069664,-15.546672917482852,0.7023022,0.1344341892159045,0.5002807,20.150488,41.76937254913822,9.54927,222.1906909097412,7.224665,2.4053173,,344.9151171996264,-30.364322041397088,0,False,,,,,0.3234113568031578,2.992077533979697,16
6641647854993487232,298.1645424900356,-53.26353660622552,1.1327346525169737,0.11239674,10.078003,9.91064023170286,0.09934389,-9.48627811091314,0.08649592,17.50811,642.6117607307496,18.551962,1745.069739383313,8.905258,1.6753063,,344.9095408154498,-30.393569568246857,0,False,3939.3875,4.6085,850.7177,0.0045,0.7803204098825495,1.1032451234954688,16
6641647919418371328,298.1463080634318,-53.245256302843394,1.1513452441834835,0.13092998,8.793595,6.667504391152304,0.13213883,-17.685940131384186,0.10602536,17.877998,446.332032212341,11.850123,1621.0113961662148,15.986399,1.9909668,,344.9293887201736,-30.3809190473569,0,False,3739.0051,4.755,583.2917,0.157,0.7585225519812672,1.137517157150033,16
6641647953777267456,298.18012146083754,-53.25667026625017,1.796871617043436,0.4742563,3.7888196,-13.637409041293427,0.43490887,-20.88651481033715,0.38280395,19.679016,53.46537131710242,7.0296397,300.6426723542673,12.085402,2.4655914,,344.9185206586957,-30.40217192597192,0,False,,,,,0.4868201409143515,3.4803444762612115,16
6641652008226285056,298.55646558145327,-53.381368858161615,0.8423263081432713,0.23673365,3.5581183,0.4753429555645749,0.26285416,-6.145013184471246,0.21835174,18.931055,126.82715617156802,7.2209926,555.5707180295202,10.877723,2.1944637,,344.7991179079199,-30.63777767862396,0,False,3375.0688,4.6084,502.3301,0.0291,0.9804523277241162,4.093075712995518,16
6641652081242347392,298.61171297507894,-53.37734952041208,1.1009371244118236,0.18982258,5.7998214,-1.0537223187575155,0.1840668,2.639487774892758,0.15560305,18.63719,163.68692174584817,6.3256307,737.5910992050494,7.0863533,2.225151,,344.8072625910925,-30.67022996607044,0,False,3619.075,4.309,1174.8787,0.2211,0.7657467786098253,1.541246603369569,16
6641652248744478336,298.69473554870683,-53.355860637783856,1.4117958255372516,0.39036402,3.6166136,0.7514396878580271,0.3944957,0.1871352837951018,0.3202708,19.705568,54.08027476502469,6.3202076,305.1408022764244,6.367413,2.4693012,,344.8373555486169,-30.717624638052826,0,False,,,,,0.6135646663842063,3.837894037875633,16
6641653386911349760,298.48486862093216,-53.40370012223196,0.9635468377330596,0.06606552,14.584717,0.6923082183740701,0.06697769,-5.1750778210380135,0.054598507,16.75642,1523.177687131261,13.56811,3158.2089144200286,10.25652,1.3823729,,344.7687211298162,-30.597314302732705,0,False,4448.825,4.5606,1008.6446,0.0371,0.9451822962079566,1.1913871589939835,16
6641653421272144512,298.4863976261505,-53.395503478244414,1.140375390418044,0.090321496,12.625736,-5.386211308762826,0.092412755,-10.791334422943184,0.07597864,17.336178,711.784098946516,7.703106,2145.054767056559,9.222206,1.788372,,344.77830073744644,-30.59746581785489,0,False,4195.631,4.6639,759.8044,0.2009,0.7900603808894114,1.035268336540733,16
6641654379049184128,298.39375853644793,-53.343515972582274,0.887059235050388,0.13234961,6.702394,2.2698755908222923,0.1370925,-7.251974605567586,0.11047877,18.021055,363.2213151090537,8.410364,1169.6620278378575,10.589788,1.8603687,,344.83243474710144,-30.53758886761643,0,False,3605.283,4.4773,661.3959,0.0139,0.9578384534113514,1.6791018156467112,16
6641654928804131328,298.4832470797865,-53.287395915756576,1.1894504180877778,0.2947434,4.035546,-7.4669436183936195,0.2740078,0.7692473459873213,0.24343976,19.173704,101.77000521516096,9.050795,459.2080247835278,6.9106846,2.2266197,,344.9031421822749,-30.585553256757287,0,False,,,,,0.7076950829285511,2.860212532730137,16
