source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,bp_rp,radial_velocity,l,b,non_single_star,has_epoch_rv,teff_gspphot,logg_gspphot,distance_gspphot,ebpminrp_gspphot,dist_5,dist_95,cluster_id
6697572688577661568,303.27023207620203,-35.95600561172172,1.1461409329331165,0.23448095,4.8879914,-10.168311595626443,0.24571803,-0.3813709852419208,0.18639825,18.979948,133.76454794532572,9.466197,533.2404504433073,8.303015,2.092102,,5.496256265047863,-31.263932082138943,0,False,3330.0093,4.6146,450.1824,0.007,0.7302480269426037,1.8725850289362131,36
6697572997816410624,303.2068812215789,-35.955769216656385,1.843150739800948,0.36183453,5.093905,12.446297010657894,0.3872533,0.2803232825007111,0.28062692,19.54419,71.78008501525706,4.7745347,323.6120428414668,8.275657,2.2256985,,5.483399375142112,-31.213843049776123,0,False,,,,,0.459483805026477,1.1782731685368524,36
6697573581930910720,303.23645106256527,-35.91184043588202,0.9198407723559308,0.21729746,4.2330947,14.514563690787142,0.23780873,-0.203073599986139,0.17819065,18.687874,163.65836222130693,13.407305,681.7643711245881,8.970399,2.1398888,,5.539655547974109,-31.227572945065344,0,False,3579.9905,4.7028,677.2872,0.0424,0.9002692125283899,2.8492702286846705,36
6697582073083623552,302.8421249689363,-35.93779789391517,0.8624811120199294,0.030507619,28.271008,10.468772647113834,0.031810958,-8.644994817000335,0.025075179,15.17669,8068.697963937148,16.88394,11335.986611687944,22.381094,0.9597864,,5.427777064542805,-30.921865447235145,0,False,5525.148,4.4367,981.2147,0.0506,1.0997090038387078,1.2363600218136257,36
6697582618542125056,302.87837612223194,-35.89704791819097,0.8633256752366208,0.24522838,3.5204966,-3.9131693360665913,0.28742847,3.901904309820456,0.19882934,18.808702,156.18799921166053,7.6336207,640.3003085220686,9.364299,2.122488,,5.481703917536677,-30.94142894216158,0,False,3474.4146,4.7015,620.2207,0.0084,0.9594711557182696,4.149177545884815,36
6697583477535504000,303.0958999451805,-35.964783601278825,1.8646727756196784,0.5237045,3.5605435,-0.8297567015628582,0.5098821,-19.010523386919523,0.39079675,19.756426,67.20363947322411,6.7936707,279.1520686769783,8.051898,2.1367664,,5.450072640420059,-31.12818244777511,0,False,,,,,0.4804050958391909,4.2659011373595845,36
6697583683693949824,303.0986511300939,-35.95106508992139,1.0868153158506164,0.2397831,4.5324936,-1.7279684266716897,0.2465436,-5.882707112692566,0.19258046,18.929232,153.8802463453292,11.018463,561.5171476038959,10.016656,1.9960957,,5.46627832336679,-31.127336794330045,0,False,3418.3054,4.6199,527.9034,0.0029,0.7679790563802416,2.249722172006289,36
6697583791070490752,303.0905757597375,-35.91659058386558,0.7985320698120004,0.1175344,6.7940283,6.1238523616847855,0.123367734,-7.5594032812761505,0.08465239,17.7125,588.6054951458526,12.137639,1324.5258115964025,13.1509,1.4712353,,5.503877052102779,-31.11336540595817,0,False,4403.75,4.6198,1329.5886,0.0144,1.0634991256073951,1.8393901184152763,36
6697584065948408448,303.017115960757,-35.95030135843349,0.8484565637474113,0.051525723,16.46666,9.579133422135977,0.05295698,-18.79605192142673,0.036711194,16.036556,3494.085772429025,10.294723,5413.076445312726,15.129423,1.0659227,,5.450160480330396,-31.06278686596295,0,False,5221.53,4.6648,814.813,0.1209,1.0826301963045897,1.327226021777571,36
6697584478265265408,303.0481535263224,-35.93144513556896,1.131794802288259,0.13336797,8.486257,2.1816006762793254,0.13700934,-7.867965515237907,0.09979856,17.975542,415.2070488761617,11.0805435,1176.7624430400094,15.277993,1.7217083,,5.478107689805071,-31.083134499730715,0,False,3906.502,4.5318,963.2228,0.0584,0.7690669484145947,1.1734077026947414,36
6697585229882206976,303.12252978794135,-35.922860210758365,0.8619283443888456,0.1165063,7.3981266,7.699505947989902,0.11923699,-12.304155440205015,0.07993123,17.611378,661.4893172131978,24.048792,1516.0046960598524,13.104354,1.4910908,,5.503392696604322,-31.13998849030568,0,False,4273.388,4.6422,1101.9907,0.0656,0.994394800391624,1.630234273455064,36
6697585234179496704,303.11884282602153,-35.91019998401852,0.8608077943321379,0.022812977,37.73325,-2.865083319869404,0.02478661,-12.6813436123119,0.016209627,14.312277,18640.89560804665,27.318636,24108.57752431144,27.779745,0.8699093,-40.325157,5.517052473739707,-31.13428777199309,0,False,5455.6226,4.2028,1038.9392,0.0095,1.1154988829946864,1.2175054792848317,36
6697585401680931712,303.1289815689876,-35.89357841432527,0.8988157861342422,0.22537932,3.9880135,7.96498289814837,0.24833609,-7.944587746022283,0.18519941,18.845245,155.5872010113163,8.800774,588.9659957807784,10.296854,2.0359383,,5.538108479191646,-31.13863610246308,0,False,3596.4429,4.8276,786.2023,0.0024,0.920490327584322,3.240986626450725,36
6697585543417136896,303.16452015790907,-35.88703478888071,0.8484505470146677,0.07213661,11.761719,-5.355674776532987,0.07240827,-5.989913898766298,0.055199396,14.703923,12809.085846448528,17.216225,17293.03315863374,22.203344,0.91652966,-6.3619013,5.552977430530819,-31.16527882491939,0,False,5975.534,4.1185,1524.4087,0.1858,1.054280104583461,1.4100701262717792,36
6697585676558872064,303.1872561930378,-35.86777965387561,0.7616959798384711,0.16169801,4.710608,-1.3622100149021734,0.16805987,-11.48341780734036,0.1279089,18.160603,338.41925768788496,10.192801,980.252183568736,12.440284,1.7453537,,5.579670042769623,-31.179009879054483,0,False,4261.5225,4.6305,1285.7361,0.1709,1.0808941006758497,2.6989593118216813,36
6697585921374261760,303.1827274498534,-35.849521353651944,0.9129731524286426,0.0646055,14.13151,9.84922634471704,0.070987195,-18.05817026825996,0.058764644,16.732552,1526.0221075035952,13.264814,3243.722709841004,13.076634,1.4093542,,5.599540943376473,-31.17140772792212,0,False,4394.3726,4.6485,802.1223,0.0062,0.9949449948640684,1.2638430227614486,36
6697586677288519040,303.1357689071648,-35.84010075757284,0.9949270006322736,0.062055893,16.032757,-2.3101987424583474,0.06490501,-15.831008764921348,0.046976957,16.617807,1822.3664362493032,11.640172,3452.7410565574487,10.601808,1.2844667,,5.600464409955094,-31.13220239531068,0,False,4534.3086,4.477,1117.5001,0.0098,0.9218764509120128,1.136918111728252,36
6697586810430320640,303.15939820176266,-35.80924476865722,1.014658926844877,0.25229096,4.0217805,4.727743287755107,0.2702676,-13.750208587593294,0.20906405,19.039461,111.5651291871674,6.5992804,493.4135871548788,7.120057,2.204853,,5.640568755392255,-31.14407107456956,0,False,,,,,0.8216838760505851,3.038619936197019,36
6697586982229853184,303.13550194184177,-35.81673860815776,1.4588584839073335,0.35715875,4.084622,-2.401073329218032,0.37846327,-2.6080081779267217,0.3019131,19.551752,67.81104092480348,6.2950034,349.5710849805128,9.540147,2.371235,,5.627026003503361,-31.12682864514611,0,False,,,,,0.5831084086717299,2.62849739782194,36
6697587154027536384,302.9653535232504,-35.94475837327455,0.7540741118606448,0.22153078,3.4039247,-3.380272104575843,0.25320068,-8.799094551740446,0.16674288,18.701838,202.94224918312835,15.991887,651.241242228922,19.1178,1.8565693,,5.445662827604376,-31.020693339443376,0,False,3634.4136,4.4994,835.7291,0.0197,1.0840241712080612,4.493054364001713,36
6697587364483309824,302.98816481692745,-35.903720223174666,0.9259274757455442,0.030333553,30.524862,2.375000550998871,0.032570187,2.918987627647488,0.02261868,15.2183485,7976.54619231516,13.229528,10547.344112756951,15.425598,0.8939676,,5.497135159171299,-31.02962522072201,0,False,5601.4355,4.4814,982.3596,0.0623,1.028070864017698,1.1457672673096353,36
6697587536282009472,302.95564898235943,-35.901344415284825,0.870037387583305,0.03108253,27.991203,-1.7240408122176616,0.0365413,-10.363478929511707,0.024282966,15.2291155,7694.47795108198,17.1709,10768.880503776154,13.416925,0.95562553,,5.493028907203613,-31.00341514335108,0,False,5298.737,4.3963,1059.7426,0.0234,1.089645964693572,1.226503696684176,36
6697587708080688896,303.0163769544968,-35.888213495156,0.828619609820677,0.10251787,8.0826845,2.9617642722843254,0.109422766,-9.924292481806097,0.077686995,17.61456,597.3699236494374,12.447561,1582.2995525865615,9.912011,1.6482601,,5.520689412033477,-31.04847919224226,0,False,4017.1392,4.5802,967.1932,0.0103,1.042624767822971,1.624360427292601,36
6697587776800843904,303.00642712307183,-35.88149803747899,0.9584721211083304,0.043257345,22.157442,23.380409540582,0.042866,-6.780450079346855,0.03188237,15.685159,5006.851367412826,13.838081,7248.17047748411,14.467318,0.99230576,,5.526249515019485,-31.03913098635613,0,False,5085.6113,4.5001,910.8646,0.0062,0.97707599308993,1.1353356834576795,36
6697587944301593728,302.9773422388521,-35.878820186129914,0.9482911000093628,0.1107639,8.561373,-0.4005883443944833,0.11608664,-6.45959756802988,0.08693844,17.76135,514.417958410838,10.90975,1374.0836081839996,12.078193,1.6573887,,5.523201674181932,-31.01555769844125,0,False,3947.7507,4.6435,912.9407,0.0031,0.9172723729416544,1.3906358398735927,36
6697588979391029888,302.9741248007336,-35.81857782220988,0.8902132428059315,0.026140315,34.055183,8.372210355584876,0.029215688,-10.61744362383483,0.020294787,14.8465805,10978.977161731267,22.708271,15187.95744811815,16.193245,0.9429903,,5.5910571377733485,-30.99963626349305,0,False,5401.8794,4.371,1024.1354,0.0339,1.0743265852095134,1.183803807170046,36
6697589116829992704,302.9264065322906,-35.82245922260468,0.826967664937748,0.054836273,15.080668,3.050078674407256,0.05854674,-6.991341859216474,0.043700308,16.420664,2471.291802248353,22.974838,3711.6271514420223,13.490774,1.0322466,,5.576598689896415,-30.962778089318423,0,False,5062.775,4.7128,952.923,0.0145,1.1035315045475176,1.3795238259870208,36
6697589494787081344,303.08304266253003,-35.81781363173234,0.852555674689,0.09197877,9.269049,0.8085109895579181,0.09882683,-7.943280310249389,0.07575128,17.300097,978.7675853202596,18.049244,1845.5313042794048,11.701853,1.2792511,,5.614806411735225,-31.08558279068985,0,False,4457.949,4.7509,932.6874,0.0072,1.026919715643807,1.499431291677891,36
6697589662288591872,303.01935020930733,-35.82157676328545,1.0589574489598972,0.21932784,4.8281946,10.561291527654632,0.2379632,-15.159617681613287,0.1794839,18.854286,143.9585916838594,8.219788,583.9144975754265,6.065053,2.1109257,,5.597153031400576,-31.036057331281057,0,False,3595.0708,4.8115,826.8688,0.0248,0.7881552245265895,2.0327677511648456,36
6697589731008085888,303.05160195145606,-35.807368087878324,1.5855349326281265,0.32649925,4.856167,-0.804229266058943,0.39292407,-2.210654852808925,0.30395493,19.48526,83.48820162224237,9.212178,350.5220930976293,7.384844,2.1483727,,5.620098935526414,-31.05840512750346,0,False,,,,,0.5325596109904189,1.4806491424788155,36
6697589868447037184,303.08374111740994,-35.80870008018145,0.9952437937596244,0.28648752,3.4739516,-4.530872557014446,0.3232087,-3.131471053679061,0.24447143,19.254953,93.99026323375912,10.818466,393.9077718593206,10.020986,2.1464252,,5.625330119340333,-31.0841159154456,0,False,,,,,0.8456592583422617,4.175829814544096,36
6697589872744204288,303.0844112484939,-35.81448735841917,1.0541825322241554,0.09021807,11.684828,8.49606049050665,0.10375901,-10.661751353937202,0.0743449,17.385218,761.2574121411052,16.999533,1904.113998462968,14.861241,1.586052,,5.618881021279557,-31.08592813919834,0,False,4100.0454,4.728,780.3842,0.0045,0.8489454040255152,1.138766279000854,36
6697590040245773440,303.1215097377111,-35.779381178518705,1.1039923587966365,0.26853096,4.111229,-4.423501325520808,0.26841566,-1.244484939346474,0.21829288,18.809294,157.99791156903638,6.8623176,710.350411793319,7.737499,2.2227,,5.666645540026345,-31.10749239224688,0,False,,,,,0.7582832317456567,2.794469485061129,36
6697590246404230144,303.06015481018807,-35.76413069458199,1.0269373335305467,0.07865287,13.056577,3.918837082728741,0.08522243,-8.449976334453844,0.060480103,16.798073,1386.2016020244707,16.092855,3192.324194564283,15.36263,1.4963484,,5.671109668087128,-31.05556886143889,0,False,4350.0405,4.533,948.1748,0.0903,0.8793821062944377,1.1410545443793587,36
6697590280764978944,303.0963661330811,-35.768838142076,1.0160858517323574,0.21627697,4.6980767,14.48899755273952,0.23973121,-6.714552836717276,0.18628466,18.783144,178.6742985824456,9.919048,555.0367572351624,13.298059,1.8212967,,5.673368707828784,-31.0852626762118,0,False,3686.5398,4.4987,747.539,0.0167,0.8196655014757308,2.198141266074198,36
6697590456859777280,303.013801716754,-35.79085479246399,0.8969716244575284,0.06823013,13.146269,3.5832113782676966,0.07357027,-16.552992261158195,0.057075582,16.870817,1530.336134395782,11.717901,2600.040348686029,11.109075,1.1661301,,5.630943013437884,-31.02484439885765,0,False,4716.939,4.7133,952.3879,0.0111,1.0068323767222431,1.303490980706721,36
6697590727440547200,302.99392203255417,-35.777911791143985,1.034051187542293,0.18841353,5.4882,5.452749626865842,0.21235791,-4.590430099592255,0.1553181,18.606512,198.3076484643088,11.112957,724.3904647952231,11.755038,1.9972305,,5.641479969332147,-31.006242041207823,0,False,3652.6836,4.3383,1268.8987,0.0887,0.8113327189980877,1.730668668947671,36
6697591208476972160,303.0597120832889,-35.71972722152634,0.9128023958683594,0.18473464,4.9411545,2.0559737473814024,0.23122557,-6.281251361420534,0.17415535,18.55395,224.3530731333996,8.630317,733.0125904581662,14.239768,1.8760948,,5.72154757831604,-31.045340404201184,0,False,3574.6567,4.5204,804.4512,0.0064,0.9106137818874132,2.2001460044923298,36
6697591208477683456,303.06443424453283,-35.72690738401087,1.240176436229288,0.36363667,3.4104824,-1.8557034329794744,0.41198757,-13.345230755859768,0.3106078,19.598295,81.27039177498607,7.784444,318.2996599075113,9.275114,2.0729065,,5.714373292245166,-31.05067638644288,0,False,,,,,0.6977067296564858,4.344944526950361,36
6697592965120583296,303.32181175298047,-35.952446034720595,0.961491164135694,0.06352931,15.134607,-4.733830301676001,0.069758065,-7.976798484624584,0.05134619,16.591955,1972.0166272386507,11.40289,3378.6864843501144,11.389144,1.1752396,,5.510991697167257,-31.30389962266857,0,False,4716.4136,4.7105,857.1957,0.0186,0.9498380289583928,1.186719317269164,36
6697592995183046784,303.3297464571358,-35.94767231906889,0.9918969797482616,0.27615672,3.5917902,-3.2681136868282907,0.2988908,-8.670175527108281,0.2713616,19.162422,96.80234818869896,6.2178607,457.5578838881911,7.660178,2.2770462,,5.518084773779014,-31.30912653095838,0,False,,,,,0.8453731154295667,3.911500223966237,36
6697593136919273088,303.3500339809253,-35.933051970235546,0.8104254179425505,0.096236,8.421229,8.269812496100528,0.10982027,-5.929971902379504,0.08961011,17.52094,640.2266769380914,11.482119,1745.3749671691642,11.237892,1.6795349,,5.538980951870805,-31.321966070402603,0,False,4342.658,4.5381,1132.974,0.2146,1.0699820716153663,1.631934592431938,36
6697593239998481280,303.3808898307448,-35.94076506318532,0.8358818214913207,0.09372751,8.918212,14.81504362580375,0.10120977,-26.67083378473868,0.08137541,17.343359,802.4519180810955,11.703188,1953.427656216238,19.18783,1.556593,,5.536544808233745,-31.348029559465804,0,False,4439.0444,4.5977,1171.4961,0.1224,1.0434188814429148,1.5494310105223097,36
6697596091856776064,303.34066719312074,-35.92252730639925,0.9600626699744385,0.04960037,19.355957,7.451673852744881,0.05648139,-7.251609128829322,0.041658398,16.262577,2668.487314414509,12.569414,4534.953305124255,13.206568,1.1664152,,5.549065544281262,-31.3122668622358,0,False,4717.043,4.5527,921.1411,0.0012,0.9675162987700048,1.149613016126265,36
6697596469813899392,303.3494886036227,-35.90498515634155,0.891592286767876,0.039863493,22.366137,10.882486966301553,0.045191348,-5.252454446771122,0.034191456,15.773959,4328.503229653893,17.569588,6932.9587761451285,11.809283,1.1020985,,5.570929476033547,-31.31540727623484,0,False,4996.1597,4.4758,1047.3148,0.035,1.050824705912891,1.219239128682489,36
6697596572893116544,303.35897275626184,-35.88251550291954,1.2453364431926035,0.27537593,4.522314,8.27974537430798,0.29112107,-3.8572280899996567,0.22557148,19.256605,86.02365925156734,8.136837,425.59073764677606,7.175813,2.326582,,5.598560766635481,-31.317994029296624,0,False,,,,,0.67379395582407,2.0760665254830943,36
6697596641612590720,303.3904129958682,-35.861597373526635,0.8079274858260593,0.058767796,13.747793,-6.781462333961734,0.06385257,2.082493457009128,0.05174095,16.624916,1879.2167328595187,10.158323,3287.006039434274,10.961149,1.1977062,,5.62897677504969,-31.33828204743264,0,False,4828.785,4.6202,1040.5122,0.0353,1.12134856759725,1.4340692958518664,36
6697597015272487424,303.2694676409109,-35.90268590150355,1.047465034225186,0.20894341,5.0131516,7.0908679645398,0.24207035,-4.272691612388607,0.1748221,18.815706,147.4300223861973,10.910156,567.5284771442846,9.419208,2.0541515,,5.556959192144391,-31.25165769235405,0,False,3487.5315,4.6099,559.1512,0.0062,0.7975293985470718,1.929625162082828,36
6697597255790714880,303.29214638349623,-35.856619382920265,0.8302974868359358,0.10900194,7.6172724,3.761508946522285,0.11440388,1.3076738672144377,0.08761699,17.746439,497.5718939512736,9.494712,1450.2899299108242,13.832827,1.7521439,,5.614248923749583,-31.259484056126137,0,False,4218.841,4.6588,957.111,0.232,1.0346380408209417,1.6656168191095,36
6697597294447647232,303.2351956411742,-35.87951546686049,1.0121197409359648,0.13533129,7.4788303,0.8335231147874538,0.14713861,-1.2437023740175284,0.11479014,18.021788,412.0352876212176,13.067473,1099.3499014311897,13.891466,1.6561508,,5.576273006132769,-31.21948564895729,0,False,4400.633,4.6674,1259.0468,0.2293,0.8493528649852082,1.3880024399982835,36
6697597565028352768,303.3081357746363,-35.86182581617267,0.9217897479648688,0.13777801,6.690398,9.315950388466684,0.1457662,-14.161740337395605,0.11871606,18.06286,330.35631005586635,10.827298,1092.4540643862586,9.307096,1.8891983,,5.611631442450395,-31.27326920420094,0,False,3707.7537,4.3478,629.2485,0.0186,0.9221645102723052,1.6208800590610866,36
6697597805546578816,303.3310865993393,-35.82033299542391,0.8902009817748064,0.22569942,3.944188,0.1525550400840697,0.2387332,1.5969365952822188,0.19828881,18.888206,130.0544308483874,8.7773,562.2071559805222,9.1696825,2.1800766,,5.663773123572561,-31.282319093574745,0,False,3603.247,4.6618,818.6677,0.1593,0.928971730244502,3.324992591534324,36
6697597942985535616,303.2853880818819,-35.81966545708659,0.958744303216892,0.111773245,8.577583,-3.57031681384962,0.11858899,-10.411825809442131,0.08797701,17.642227,586.9060916279984,10.821986,1494.95734710197,11.449279,1.6057968,,5.655012403730192,-31.246022444951446,0,False,4170.84,4.645,1007.5566,0.0612,0.9075194908025712,1.3747596173568104,36
6697598011706073216,303.3160048984809,-35.79847175006847,2.3249732238343968,0.5536273,4.1995277,-4.589501677676442,0.55684805,-7.407386778291559,0.45211905,20.056286,52.90857783252756,6.175866,240.27134329517528,9.181355,2.2335873,,5.685583123503989,-31.265585209735143,0,False,,,,,0.372752801195751,2.331931633099275,36
6697598492741347200,303.3761736235614,-35.81908430283421,0.7835627380704331,0.21824205,3.5903382,3.965109033615499,0.22838064,-13.48768283897746,0.1826257,18.855473,132.5058041019518,9.393025,576.7961932458454,10.43108,2.1876163,,5.674582055127634,-31.31771468272015,0,False,3560.8972,4.3048,1424.7119,0.121,1.0462758768277325,4.101391413695809,36
6697599248655609216,303.3645214085702,-35.80603996527361,0.843999633058613,0.14557658,5.797633,-6.027273675716019,0.15330525,-1.6099119294280082,0.11851685,18.229582,324.3347355836895,13.947136,937.2418570219849,8.688139,1.7427921,,5.687053924624218,-31.30563557083653,0,False,3727.1738,4.3601,1277.4131,0.0115,0.9932250038336948,1.963535299168549,36
6697599317375120896,303.35685028245047,-35.78207180824011,0.8852300275196089,0.13368878,6.621573,0.8700729602097312,0.14371578,-5.379670060694895,0.105411634,18.08438,369.4983558444088,10.774147,1055.396710372022,8.96327,1.730156,,5.712822069273729,-31.29430401519964,0,False,4129.4385,4.5128,1418.83,0.132,0.9587398153880322,1.6957756949696252,36
6697599454814098048,303.376939657206,-35.768136194955275,0.758330347081748,0.14342454,5.2873125,17.602786770936852,0.15131964,-10.758155596318392,0.11673413,18.221455,312.84585102989007,8.263401,914.355346664014,8.410669,1.7551079,,5.732922954988921,-31.30714400540207,0,False,3882.7737,4.8383,763.9803,0.0569,1.0941257362412378,2.358544534223977,36
6697599523533564928,303.34097365004413,-35.77465758001205,0.9077089243438902,0.11020024,8.236905,-1.972033980011795,0.11899664,-5.88401054104359,0.084345825,17.75289,516.8890337772274,9.682252,1377.4477130032285,5.8346615,1.6548405,,5.717973663429996,-31.28010908959248,0,False,4028.935,4.7589,829.2226,0.0246,0.9544294420168344,1.474478239393594,36
6697599630909849856,303.3558323571166,-35.77020526987472,0.8800022408587246,0.049172252,17.896317,1.8899794120234497,0.053265344,4.341834013659879,0.037001494,16.285519,2464.6048141608685,14.9056,4678.616838305184,10.150016,1.2865725,,5.726157071050612,-31.290891048110577,0,False,4715.026,4.4204,1066.5414,0.1251,1.049956604828107,1.2657252542931996,36
6697599660972563840,303.36636027091674,-35.74582816839881,1.180963406104755,0.16562797,7.1302176,-13.316755610326858,0.16031797,-9.088179985539758,0.13411553,18.359222,229.7276103406836,10.808175,871.236948593745,12.468562,2.0379543,,5.756184143483476,-31.293865699524567,0,False,3607.4944,4.4598,556.4983,0.1042,0.7261130337427301,1.2278188484329955,36
6697609217274295424,303.22386443349325,-35.844896889588284,1.5963605224156197,0.44839266,3.5601845,-4.452520939731013,0.47705072,-9.222586181331616,0.3583404,19.807398,65.40924459339656,8.045617,301.7049816802797,8.465666,2.2505054,,5.613398606452475,-31.20291529352473,0,False,,,,,0.55163578975979,4.088366251358438,36
