Simbad_Name,Simbad_Type,Simbad_Dist_kpc,RA_center,Dec_center,Our_Dist_kpc,Our_Radius_pc,Members,Source_File
M   3,GlC,Unknown,205.54902,28.377319999999997,"2.8183829312644546, 3.162277660168379, 3.548133892335757, 3.981071705534973, 4.466835921509635",7.182,"98, 88, 88, 74, 61",cluster_d2.82kpc_ra205.5526_dec28.3757_id3.csv | cluster_d3.16kpc_ra205.5504_dec28.3772_id3.csv | cluster_d3.55kpc_ra205.5503_dec28.3770_id3.csv | cluster_d3.98kpc_ra205.5488_dec28.3773_id3.csv | cluster_d4.47kpc_ra205.5430_dec28.3794_id3.csv
M   5,GlC,Unknown,229.6358142857143,2.0871714285714282,"2.511886431509582, 2.8183829312644546, 3.162277660168379, 3.548133892335757, 3.981071705534973, 4.466835921509635, 5.011872336272725",10.02,"118, 129, 138, 132, 129, 108, 81",cluster_d2.51kpc_ra229.6407_dec2.0842_id3.csv | cluster_d2.82kpc_ra229.6390_dec2.0887_id4.csv | cluster_d3.16kpc_ra229.6391_dec2.0878_id4.csv | cluster_d3.55kpc_ra229.6360_dec2.0877_id4.csv | cluster_d3.98kpc_ra229.6338_dec2.0877_id4.csv | cluster_d4.47kpc_ra229.6351_dec2.0859_id4.csv | cluster_d5.01kpc_ra229.6270_dec2.0882_id2.csv
M  13,GlC,Unknown,250.42559999999997,36.46535,"1.9952623149688808, 2.23872113856834, 2.511886431509582, 2.8183829312644546, 3.162277660168379, 3.548133892335757, 3.981071705534973, 4.466835921509635, 5.011872336272725, 5.62341325190349",10.948,"200, 212, 201, 224, 235, 239, 216, 176, 108, 78",cluster_d2.00kpc_ra250.4333_dec36.4722_id1.csv | cluster_d2.24kpc_ra250.4386_dec36.4640_id1.csv | cluster_d2.51kpc_ra250.4323_dec36.4661_id1.csv | cluster_d2.82kpc_ra250.4236_dec36.4653_id1.csv | cluster_d3.16kpc_ra250.4241_dec36.4624_id1.csv | cluster_d3.55kpc_ra250.4221_dec36.4646_id1.csv | cluster_d3.98kpc_ra250.4215_dec36.4661_id1.csv | cluster_d4.47kpc_ra250.4176_dec36.4644_id1.csv | cluster_d5.01kpc_ra250.4206_dec36.4639_id1.csv | cluster_d5.62kpc_ra250.4223_dec36.4645_id1.csv
M  92,GlC,Unknown,259.29181666666665,43.13491666666667,"2.511886431509582, 2.8183829312644546, 3.162277660168379, 3.548133892335757, 3.981071705534973, 4.466835921509635",9.203333333333333,"94, 144, 127, 109, 83, 62",cluster_d2.51kpc_ra259.2874_dec43.1361_id2.csv | cluster_d2.82kpc_ra259.2911_dec43.1329_id2.csv | cluster_d3.16kpc_ra259.3030_dec43.1398_id2.csv | cluster_d3.55kpc_ra259.2944_dec43.1361_id2.csv | cluster_d3.98kpc_ra259.2894_dec43.1317_id2.csv | cluster_d4.47kpc_ra259.2856_dec43.1329_id2.csv
NGC  2682,OpC,Unknown,132.8705,11.8232,1.0,11.96,634,cluster_d1.00kpc_ra132.8705_dec11.8232_id1.csv
