RA_center,Dec_center,Our_Radius_pc,Our_Dist_kpc,Simbad_Name,Simbad_Type,Simbad_Dist_kpc,Members,Source_File
298.1883,-61.3662,7.34,1.2589254117941673,None,None,Unknown,194,cluster_d1.26kpc_ra298.1883_dec-61.3662_id9.csv
297.9104,-53.7989,10.46,1.2589254117941673,None,None,Unknown,371,cluster_d1.26kpc_ra297.9104_dec-53.7989_id17.csv
298.931,-50.8551,10.54,1.2589254117941673,None,None,Unknown,312,cluster_d1.26kpc_ra298.9310_dec-50.8551_id18.csv
302.0813,-47.0472,6.76,1.2589254117941673,None,None,Unknown,174,cluster_d1.26kpc_ra302.0813_dec-47.0472_id19.csv
300.2072,-43.5292,7.59,1.2589254117941673,None,None,Unknown,222,cluster_d1.26kpc_ra300.2072_dec-43.5292_id21.csv
302.4843,-36.5908,10.14,1.2589254117941673,None,None,Unknown,308,cluster_d1.26kpc_ra302.4843_dec-36.5908_id24.csv
305.2883,-30.4461,7.29,1.2589254117941673,None,None,Unknown,193,cluster_d1.26kpc_ra305.2883_dec-30.4461_id26.csv
306.3897,-28.4997,9.07,1.2589254117941673,None,None,Unknown,303,cluster_d1.26kpc_ra306.3897_dec-28.4997_id27.csv
305.7927,-24.5734,10.18,1.2589254117941673,None,None,Unknown,372,cluster_d1.26kpc_ra305.7927_dec-24.5734_id29.csv
297.6295,-56.2892,9.13,1.4125375446227553,None,None,Unknown,274,cluster_d1.41kpc_ra297.6295_dec-56.2892_id2.csv
298.7416,-56.5039,6.95,1.4125375446227553,None,None,Unknown,179,cluster_d1.41kpc_ra298.7416_dec-56.5039_id3.csv
298.5925,-53.0699,6.67,1.4125375446227553,None,None,Unknown,156,cluster_d1.41kpc_ra298.5925_dec-53.0699_id4.csv
302.3788,-44.7402,6.73,1.4125375446227553,None,None,Unknown,161,cluster_d1.41kpc_ra302.3788_dec-44.7402_id5.csv
300.3279,-42.4047,9.72,1.4125375446227553,None,None,Unknown,302,cluster_d1.41kpc_ra300.3279_dec-42.4047_id6.csv
300.4956,-41.5705,7.59,1.4125375446227553,None,None,Unknown,197,cluster_d1.41kpc_ra300.4956_dec-41.5705_id7.csv
302.3422,-36.8968,6.67,1.4125375446227553,None,None,Unknown,156,cluster_d1.41kpc_ra302.3422_dec-36.8968_id8.csv
305.8978,-25.7722,6.82,1.4125375446227553,None,None,Unknown,162,cluster_d1.41kpc_ra305.8978_dec-25.7722_id9.csv
305.7501,-24.5451,10.12,1.4125375446227553,None,None,Unknown,337,cluster_d1.41kpc_ra305.7501_dec-24.5451_id10.csv
301.7473,-69.3745,7.03,1.584893192461114,None,None,Unknown,140,cluster_d1.58kpc_ra301.7473_dec-69.3745_id2.csv
302.4475,-36.9214,6.99,1.584893192461114,None,None,Unknown,149,cluster_d1.58kpc_ra302.4475_dec-36.9214_id3.csv
298.9677,-49.1282,6.68,1.7782794100389223,None,None,Unknown,127,cluster_d1.78kpc_ra298.9677_dec-49.1282_id4.csv
