distance_kpc,ra_center,dec_center,radius_deg,radius_pc,n_members,source_file
1.0,132.87049964889633,11.823165324593873,0.6851415101735172,11.957975194614102,634,cluster_d1.00kpc_ra132.8705_dec11.8232_id1.csv
1.9952623149688808,250.4333055320697,36.47223475051761,0.30919298351816243,10.767304560813637,200,cluster_d2.00kpc_ra250.4333_dec36.4722_id1.csv
2.23872113856834,250.43856064953619,36.46399685281225,0.28205718910241223,11.020836035306226,212,cluster_d2.24kpc_ra250.4386_dec36.4640_id1.csv
2.511886431509582,250.43229609658687,36.46610255060199,0.25051497622419705,10.982749078818733,201,cluster_d2.51kpc_ra250.4323_dec36.4661_id1.csv
2.511886431509582,259.2873930771195,43.13608529460254,0.1643758819271662,7.206351863770247,94,cluster_d2.51kpc_ra259.2874_dec43.1361_id2.csv
2.511886431509582,229.6406821636222,2.0841512825428836,0.2067435136155409,9.0637780141366,118,cluster_d2.51kpc_ra229.6407_dec2.0842_id3.csv
2.8183829312644546,250.42355968789096,36.46529878414195,0.22868608159085196,11.24908247083441,224,cluster_d2.82kpc_ra250.4236_dec36.4653_id1.csv
2.8183829312644546,259.2910795396791,43.13290199921405,0.21085415217984624,10.37192876229614,144,cluster_d2.82kpc_ra259.2911_dec43.1329_id2.csv
2.8183829312644546,205.55259257257552,28.375728562504342,0.17332481145615564,8.525858175315005,98,cluster_d2.82kpc_ra205.5526_dec28.3757_id3.csv
2.8183829312644546,229.63902143102453,2.0886677640465017,0.20465141474101814,10.066815724769238,129,cluster_d2.82kpc_ra229.6390_dec2.0887_id4.csv
3.162277660168379,250.4241006889936,36.462360133309794,0.2055385213301363,11.344114345419188,235,cluster_d3.16kpc_ra250.4241_dec36.4624_id1.csv
3.162277660168379,259.30300304210573,43.139774225190635,0.19764109972120203,10.908238611829393,127,cluster_d3.16kpc_ra259.3030_dec43.1398_id2.csv
3.162277660168379,205.5504007360314,28.37723415492337,0.09265749091612831,5.11396678885265,88,cluster_d3.16kpc_ra205.5504_dec28.3772_id3.csv
3.162277660168379,229.63905209886784,2.087753957960802,0.20528098131051217,11.329900156214016,138,cluster_d3.16kpc_ra229.6391_dec2.0878_id4.csv
3.548133892335757,250.42207858261025,36.46464571690372,0.2039251609804549,12.628395692034672,239,cluster_d3.55kpc_ra250.4221_dec36.4646_id1.csv
3.548133892335757,259.29441906478934,43.13613114395959,0.1705433302612717,10.561171788816727,109,cluster_d3.55kpc_ra259.2944_dec43.1361_id2.csv
3.548133892335757,205.55028006802095,28.37697270519602,0.13546322347686615,8.388779391221597,88,cluster_d3.55kpc_ra205.5503_dec28.3770_id3.csv
3.548133892335757,229.6360046745881,2.0876520551471054,0.16550153414714514,10.24895040317881,132,cluster_d3.55kpc_ra229.6360_dec2.0877_id4.csv
3.981071705534973,250.4214576765415,36.46608748512604,0.14707652501197832,10.219290098669513,216,cluster_d3.98kpc_ra250.4215_dec36.4661_id1.csv
3.981071705534973,259.2893679041312,43.13170260439236,0.12991014109151142,9.02652152316707,83,cluster_d3.98kpc_ra259.2894_dec43.1317_id2.csv
3.981071705534973,205.54882899684526,28.377256013311317,0.10310048702132188,7.163711449527312,74,cluster_d3.98kpc_ra205.5488_dec28.3773_id3.csv
3.981071705534973,229.6338327145237,2.087659964133522,0.15508019571308757,10.775407621450226,129,cluster_d3.98kpc_ra229.6338_dec2.0877_id4.csv
4.466835921509635,250.41758332397887,36.46443102599192,0.1565728641860407,12.206576121722293,176,cluster_d4.47kpc_ra250.4176_dec36.4644_id1.csv
4.466835921509635,259.28556562191443,43.13292194950633,0.09160468823412385,7.14159254765784,62,cluster_d4.47kpc_ra259.2856_dec43.1329_id2.csv
4.466835921509635,205.5430328593824,28.379371524496744,0.08620789715356693,6.7208533507330435,61,cluster_d4.47kpc_ra205.5430_dec28.3794_id3.csv
4.466835921509635,229.63505399133507,2.0858673922867434,0.12899612603637253,10.056666204939033,108,cluster_d4.47kpc_ra229.6351_dec2.0859_id4.csv
5.011872336272725,250.4205651334653,36.46391329644277,0.12101595457926857,10.585710154532185,108,cluster_d5.01kpc_ra250.4206_dec36.4639_id1.csv
5.011872336272725,229.62696333713757,2.0881885636928317,0.09825420966693917,8.594656701365489,81,cluster_d5.01kpc_ra229.6270_dec2.0882_id2.csv
5.62341325190349,250.42231597427985,36.46450645058893,0.08634615816574066,8.474622986311113,78,cluster_d5.62kpc_ra250.4223_dec36.4645_id1.csv
